id,title,type,description,release_year,imdb_id,imdb_score,imdb_votes
ts9,The Walking Dead,SHOW,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,2010,tt1520211,8.19999999999999,945125.0
ts11,Downton Abbey,SHOW,"A chronicle of the lives of the aristocratic Crawley family and their servants in the post-Edwardian eraÃ¢â‚¬â€with great events in history having an effect on their lives and on the British social hierarchy.

",2010,tt1606375,8.69999999999999,197744.0
ts288536,The Great British Baking Show,SHOW,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,2010,tt1877368,8.6,9564.0
tm92641,Inception,MOVIE,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010,tt1375666,8.8,2268288.0
tm102740,The Other Guys,MOVIE,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff.",2010,tt1386588,6.6,263019.0
tm87484,How to Train Your Dragon,MOVIE,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast Ã¢â‚¬â€œ which he names Toothless Ã¢â‚¬â€œ much to the chagrin of his warrior father.",2010,tt0892769,8.1,719717.0
ts21511,My Little Pony: Friendship Is Magic,SHOW,"""Get your muzzle out of those books and make some friends!"" That's what Princess Celestia tells Twilight Sparkle. She may be the smartest unicorn in Equestria, but Twilight Sparkle gets an ""incomplete"" in friendship. There's more to life than learning magic, after all -- so she goes to Ponyville on a mission to make friends. There she meets five special ponies who take her on exciting adventures and teach her the most powerful magic of all ... the magic of friendship!",2010,tt1751105,7.6,20708.0
tm86803,The Social Network,MOVIE,"The tale of a new breed of cultural insurgent: a punk genius who sparked a revolution and changed the face of human interaction for a generation, and perhaps forever.",2010,tt1285016,7.8,681286.0
tm93055,Grown Ups,MOVIE,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",2010,tt1375670,5.9,247229.0
tm90190,True Grit,MOVIE,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can findÃ¢â‚¬â€a man with 'true grit'Ã¢â‚¬â€Reuben J. 'Rooster' Cogburn.",2010,tt1403865,7.6,333378.0
