tm1013111,1000 Miles from Christmas,MOVIE,"A Christmas tale, a romantic comedy and the story of a man in his 30s who learns reluctantly to get carried away by the Christmas spirit.",2021,tt13782052,5.69999980926514,1483,2020s
tm101334,Death at a Funeral,MOVIE,"Aaron's father's funeral is today at the family home, and everything goes wrong: the funeral home delivers the wrong body, his cousin accidentally drugs her fiancÃƒÂ©, and Aaron's successful younger brother, Ryan, flies in from New York, broke but arrogant. To top it all off, a mysterious stranger wants a word with Aaron.",2010,tt1321509,5.59999990463257,49599,2010s
tm1014947,Against the Ice,MOVIE,"In 1909, two explorers fight to survive after they're left behind while on a Denmark expedition in ice-covered Greenland.",2022,tt13873302,6.5,18057,2020s
tm101540,Well Done Abba,MOVIE,"This is the story of Armaan Ali, a driver working for a senior executive in Mumbai. He takes a month's leave to find a husband for his teenage daughter, who lives near Hyderabad. When he is delayed and returns to work after three months, his employer threatens to sack him. But he is persuaded to listen to the reason for Armaan Ali's delay. The story he relates is delightful, hilarious -- and poignant.",2010,tt1397492,7.19999980926514,1876,2010s
tm101609,Raajneeti,MOVIE,"It is the story of a fiercely fought election campaign, where money power and corruption are the accepted norms, and where treachery and manipulation are routinely used weapons. As the personal drama of these conflict-ridden characters unfolds against this gritty backdrop, love and friendship become mere baits, and relationships get sacrificed at the altar of political alignments. The darkness that rises from their souls threatens to envelope all that they hold precious. Until eventually, in the crescendo of increasing violence, the line between good and evil blurs, making it impossible to distinguish heroes from villains. Raajneeti is the story of Indian democracy. And its ugly underside. It is about politics. And beyond.",2010,tt1291465,7.09999990463257,17555,2010s
tm101684,Romantik Komedi,MOVIE,"Esra, Didem ve Zeynep ÃƒÂ§ok yakÃ„Â±n arkadaÃ…Å¸ olmalarÃ„Â±na raÃ„Å¸men birbirinden farklÃ„Â± hayatlar sÃƒÂ¼rdÃƒÂ¼ren farklÃ„Â± karakterlere sahip ÃƒÂ¼ÃƒÂ§ kiÃ…Å¸idir. Sessiz sakin olan Esra, deli dolu olanÃ¯Â¿Â½ Didem ve dominant karaktere sahip olan Zeynep.. Bu ÃƒÂ¼ÃƒÂ§ arkadaÃ…Å¸tan istikrarlÃ„Â± olarak iliÃ…Å¸kisini sÃƒÂ¼rdÃƒÂ¼rebilmiÃ…Å¸ olan Zeynep'in dÃƒÂ¼Ã„Å¸ÃƒÂ¼nÃƒÂ¼ hem Esra'nÃ„Â±n hem de Didem'in hayatÃ„Â±nda deÃ„Å¸iÃ…Å¸ik sÃƒÂ¼prizlere neden olacaktÃ„Â±r. Ã„Â°stemediÃ„Å¸i bir iÃ…Å¸te yÃ„Â±llardÃ„Â±r ÃƒÂ§alÃ„Â±Ã…Å¸an Esra bir cesaret ÃƒÂ¶rneÃ„Å¸i gÃƒÂ¶stererek, hayatÃ„Â±nÃ„Â± deÃ„Å¸iÃ…Å¸tirmeye karar verir. Bunun iÃƒÂ§in ilk adÃ„Â±mÃ„Â± atar ve iÃ…Å¸inden istifa eder, kÃƒÂ¶tÃƒÂ¼ giden iliÃ…Å¸kisini sona erdirir. Uzun iÃ…Å¸ aramalarÃ„Â±ndan sonra zar zor iÃ…Å¸ bulduÃ„Å¸u reklam ajansÃ„Â±na ÃƒÂ§alÃ„Â±Ã…Å¸maya baÃ…Å¸layana Esra'yÃ„Â± bir sÃƒÂ¼rpriz bekliyordur.",2010,tt1587263,5.30000019073486,5060,2010s
tm1017664,Baggio: The Divine Ponytail,MOVIE,"Biographical film about Italian footballer Roberto Baggio, a man who inspired entire generations to play football. A unique footballer, capable of thrilling fans all over the world.",2021,tt14025788,6.09999990463257,4296,2020s
tm1018427,Moxie,MOVIE,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",2021,tt7737700,6.69999980926514,24003,2020s
tm1018890,Seaspiracy,MOVIE,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species Ã¢â‚¬â€ and uncovers an alarming global conspiracy.",2021,tt14152756,8.10000038146973,29604,2020s
tm1019177,The Colony,MOVIE,"In the not-too-distant future: after a global catastrophe has wiped out nearly all of humanity on Earth, an elite astronaut from Space Colony Kepler must make a decision that will seal the fate of the people on both planets.",2021,tt6506264,5.40000009536743,7434,2020s
tm1019865,Wild Dog,MOVIE,"Wild Dog aka Vijay Varma is an NIA agent whoÃ¢â‚¬â„¢s brought back to field from a desk job to handle a terrorism case. Despite having a personal motive, he moves heaven and earth to ensure justice is served for the sake of the country.",2021,tt11503178,6.19999980926514,2248,2020s
tm1020073,Thunder Force,MOVIE,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.",2021,tt10121392,4.40000009536743,40788,2020s
tm1020820,Night Teeth,MOVIE,"A college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across LA. But when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to stay alive.",2021,tt10763820,5.59999990463257,16890,2020s
tm1020851,Back to the Outback,MOVIE,"Tired of being locked in a reptile house where humans gawk at them like they're monsters, a group of Australia's deadliest creatures plot a daring escape from their zoo to the Outback.",2021,tt13575806,6.5,7328,2020s
tm1021871,The Starling,MOVIE,"After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity for love.",2021,tt5164438,6.30000019073486,11733,2020s
tm1022103,Outlaws,MOVIE,Introverted Girona student Nacho meets two delinquents from the city's Chinatown and gets caught up in a summer onslaught of burglaries and hold ups that will change his life.,2021,tt11892272,6.90000009536743,3722,2020s
tm1022893,Dynasty Warriors,MOVIE,"In the turbulent late Eastern Han Dynasty. Ambitious Dong Zhuo controls the court and the commonalty, and heroes from all over the country begin to rise.",2021,tt7587604,4.69999980926514,2079,2020s
