id,title,release_year,imdb_score,imdb_votes
ts22318,Winx Club,2004,6.2,6700.0
tm161263,The Cave,2005,5.1,38445.0
ts12815,Big Time Rush,2009,6.3,12046.0
tm26638,The Texas Chainsaw Massacre: The Beginning,2006,5.8,72366.0
tm55303,I Am Sam,2001,7.6,149082.0
tm31189,The Spiderwick Chronicles,2008,6.5,94628.0
tm165593,Rumor Has It...,2005,5.5,57894.0
ts15986,Dead Set,2008,7.6,19684.0
ts26322,Toradora!,2008,8.0,14307.0
tm78767,I Now Pronounce You Chuck & Larry,2007,5.9,146625.0
tm36644,World Trade Center,2006,6.0,83129.0
tm77649,Premonition,2007,5.9,78119.0
ts33559,Shaun the Sheep,2007,8.0,25.0
tm33113,Eagle Eye,2008,6.6,185430.0
tm43399,Lagaan: Once Upon a Time in India,2001,8.1,111053.0
tm147211,The Men Who Stare at Goats,2009,6.2,131564.0
ts56549,Scare Tactics,2003,6.7,2512.0
tm29555,Friends with Money,2006,5.8,30186.0
ts20398,Kath & Kim,2002,8.3,4168.0
tm86189,Good Luck Chuck,2007,5.6,89755.0
ts21421,Pocoyo,2005,3.9,93.0
tm135451,Gifted Hands: The Ben Carson Story,2009,7.6,10210.0
ts20526,The Game,2006,6.6,4417.0
tm141707,Blood and Bone,2009,6.7,33051.0
ts23835,Masha and the Bear,2009,7.6,3114.0
tm83786,Like Stars on Earth,2007,8.3,188234.0
ts23808,Monty Python: Almost the Truth (The Lawyer's Cut),2009,8.1,1740.0
ts27459,The Legend of Bruce Lee,2008,7.0,1422.0
ts20544,Ouran High School Host Club,2006,8.19999999999999,9763.0
tm27168,Felon,2008,7.4,78039.0
ts40702,The Ultimatum,2009,5.4,6.0
tm114476,Stuart Little 2,2002,5.5,53746.0
ts21967,Johnny Test,2005,5.1,8172.0
ts12701,Code Lyoko,2003,7.3,5109.0
tm130574,Did You Hear About the Morgans?,2009,4.9,40289.0
ts21695,Iris,2009,7.8,1951.0
ts1893,Ben & Holly's Little Kingdom,2009,7.5,1222.0
ts20535,The Garfield Show,2009,5.3,2499.0
tm160800,Chaos,2005,6.4,54633.0
ts38159,Wakfu,2008,8.1,1469.0
tm22493,Katt Williams: The Pimp Chronicles Pt. 1,2006,7.6,1780.0
tm164557,Initial D,2005,6.3,8536.0
tm112381,Comedian,2002,6.9,6948.0
tm71119,Delta Farce,2007,3.6,11138.0
tm134235,One Piece: Strong World,2009,7.5,5382.0
tm86995,Christmas with the Kranks,2004,5.4,49090.0
ts17028,Dinosaur King,2007,5.6,720.0
tm137530,Love Happens,2009,5.6,32837.0
ts25765,Vampire Knight,2008,7.3,5172.0
ts3666,Den-noh Coil,2007,7.9,863.0
tm36475,Kabhi Khushi Kabhie Gham,2001,7.4,48818.0
tm80059,Naruto Shippuden the Movie,2007,6.7,4016.0
tm22636,Trailer Park Boys: The Movie,2006,7.1,12831.0
tm30289,Jeff Dunham: Arguing with Myself,2006,8.0,3984.0
tm38896,From Within,2008,5.6,7585.0
tm29269,Jodhaa Akbar,2008,7.5,32188.0
tm156001,And Then Came Lola,2009,3.9,1683.0
ts21664,One on One,2001,7.0,2303.0
tm73058,Om Shanti Om,2007,6.7,42597.0
tm76835,Jab We Met,2007,7.9,51945.0
ts1464,The Cartel,2008,8.1,755.0
tm48083,Te quiero,2001,4.8,73.0
tm33981,Bon Cop Bad Cop,2006,6.5,61.0
tm80339,Naruto: Ninja Clash in the Land of Snow,2004,6.6,6759.0
ts72322,The Mafia Dolls,2009,6.6,284.0
ts52849,Horrid Henry,2006,6.3,912.0
tm65142,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,2007,6.9,1611.0
ts14102,Bo on the Go!,2007,4.1,118.0
tm22342,Waist Deep,2006,5.8,9957.0
tm24576,Naruto: Guardians of the Crescent Moon Kingdom,2006,6.4,3975.0
tm41508,First Sunday,2008,4.5,10834.0
ts74928,Einsatzgruppen: The Nazi Death Squads,2009,7.6,603.0
tm52352,This Is the Life,2008,6.3,263.0
tm170873,My Suicide,2009,7.0,1936.0
tm176297,Kyaa Kool Hai Hum,2005,6.1,3507.0
ts74931,Kung Fu Panda Awesome Secrets,2008,7.2,55.0
tm110923,Divine Intervention,2002,6.6,3598.0
tm150521,Accident,2009,6.6,3284.0
tm177687,Naruto: Legend of the Stone of Gelel,2005,6.4,4297.0
tm22989,Jim Gaffigan: Beyond the Pale,2006,7.9,3940.0
ts98252,Dreamworks Happy Holidays from Madagascar,2005,6.5,96.0
tm156575,Billu,2009,6.3,11747.0
ts20358,Half & Half,2002,7.0,1827.0
ts23319,Timmy Time,2009,6.9,1083.0
tm61056,Dil Chahta Hai,2001,8.1,71167.0
tm138497,Trailer Park Boys: Countdown to Liquor Day,2009,7.3,7451.0
tm81461,Whisky,2004,7.1,6249.0
tm32915,EMI,2008,4.4,604.0
ts63295,Vientos de agua,2006,8.69999999999999,1034.0
tm36164,Naruto Shippuden the Movie: Bonds,2008,6.8,4473.0
tm147494,Naruto Shippuden the Movie: The Will of Fire,2009,7.0,3626.0
tm31564,Linewatch,2008,5.4,2862.0
tm54147,Dostana,2008,6.5,14944.0
tm30170,Don,2006,7.1,36836.0
tm37945,Rock On!!,2008,7.7,21963.0
tm25029,Eternal Summer,2006,7.0,2630.0
tm59880,Mike Birbiglia: What I Should Have Said Was Nothing,2008,7.6,1789.0
tm34524,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",2008,7.0,1189.0
tm83175,Welcome,2007,6.9,21799.0
tm65839,Just Another Love Story,2007,7.2,4849.0
tm89936,Arahan,2004,6.6,3813.0
tm22540,Phir Hera Pheri,2006,7.1,22505.0
tm34846,Bleach the Movie: Fade to Black,2008,7.2,2151.0
tm32885,Rang De Basanti,2006,8.1,118092.0
tm82765,Swades,2004,8.1,89085.0
tm170169,Kaal,2005,4.7,5309.0
tm44749,Sorry to Disturb,2008,8.0,5824.0
tm47325,2 Alone in Paris,2008,5.4,2482.0
tm146887,Delhi-6,2009,6.1,7683.0
tm144345,Kal Ho Naa Ho,2003,7.9,68028.0
tm70222,Sivaji: The Boss,2007,7.5,19556.0
ts37200,Trotro,2004,6.2,120.0
tm25842,A Lion in the House,2006,8.69999999999999,312.0
tm43179,Oye Lucky! Lucky Oye!,2008,7.7,17411.0
tm23441,Kabhi Alvida Naa Kehna,2006,6.0,19797.0
tm86051,Black Friday,2004,8.4,20611.0
tm44634,Kevin James: Sweat the Small Stuff,2001,7.4,1083.0
tm62369,Connected,2008,6.6,2256.0
tm23077,Vivah,2006,6.6,9793.0
tm31335,Golmaal Returns,2008,5.1,7884.0
tm139349,Jim Gaffigan: King Baby,2009,7.7,2548.0
tm85243,The Trailer Park Boys Xmas Special,2004,8.0,3422.0
tm165809,Bluffmaster!,2005,6.6,6313.0
tm89764,Inuyasha the Movie 4: Fire on the Mystic Island,2004,7.2,1826.0
tm68191,My FÃƒÂ¼hrer,2007,5.5,4430.0
tm51493,Vizontele,2001,8.0,36291.0
ts1413,Autumn's Concerto,2009,7.9,475.0
tm175687,Sir! No Sir!,2005,7.6,778.0
ts98353,DreamWorks Spooky Stories,2009,6.2,19.0
tm49405,Inuyasha the Movie: Affections Touching Across Time,2001,7.2,2570.0
tm72587,Guru,2007,7.7,23541.0
tm88366,Main Hoon Na,2004,7.0,35142.0
tm38454,Jeff Dunham's Very Special Christmas Special,2008,7.4,3028.0
tm164389,Paheli,2005,6.3,13206.0
tm77863,Honeymoon Travels Pvt. Ltd.,2007,6.1,2609.0
ts137477,Behind Enemy Lines,2001,7.2,42.0
tm138902,Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,7.6,2206.0
ts4866,Fated to Love You,2008,7.4,461.0
tm149209,Kaminey,2009,7.4,17136.0
ts34414,Nuevo Rico Nuevo Pobre,2007,7.2,203.0
tm147686,Kevin Hart: I'm a Grown Little Man,2009,7.5,4333.0
tm82718,G.O.R.A.,2004,8.0,61797.0
tm39557,Jaane Tu... Ya Jaane Na,2008,7.4,26738.0
tm22558,Mukhsin,2006,7.3,382.0
ts204466,Pecados capitales,2002,8.5,190.0
tm164591,Apaharan,2005,7.4,4736.0
ts18653,Chhota Bheem,2008,4.1,822.0
ts67595,Pedro El Escamoso,2001,7.5,303.0
tm29731,Chup Chup Ke,2006,6.9,10528.0
tm80455,Manorama Six Feet Under,2007,7.6,8043.0
tm144835,Sergio,2009,7.4,880.0
tm129971,Luck by Chance,2009,7.1,10206.0
ts29199,Monty Python's Personal Best,2006,7.9,437.0
tm155761,Ajab Prem Ki Ghazab Kahani,2009,6.3,14380.0
tm75544,Dhan Dhana Dhan Goal,2007,5.0,2603.0
tm29028,Salt of This Sea,2008,6.8,1224.0
tm93004,Yuva,2004,7.3,8878.0
tm23977,Fuga,2006,6.3,1120.0
tm78790,Namastey London,2007,7.1,21745.0
tm44530,Fashion,2008,6.9,12468.0
tm96595,Lakshya,2004,7.8,23076.0
tm56428,Trailer Park Boys: Say Goodnight to the Bad Guys,2008,7.8,3555.0
tm155774,Pomegranates and Myrrh,2009,6.3,249.0
tm44378,Tony Manero,2008,6.8,4231.0
tm27484,Kismat Konnection,2008,5.3,5588.0
tm145243,Wake Up Sid,2009,7.6,30818.0
tm77348,Life in a Metro,2007,7.4,11934.0
tm111226,Awara Paagal Deewana,2002,6.2,8309.0
tm237621,The Figurine (Araromire),2009,4.4,243.0
tm152724,Kurbaan,2009,5.7,5121.0
tm69694,CanÃ¢â‚¬â„¢t Complain,2007,7.5,3922.0
tm105278,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,7.3,2127.0
tm33729,Taxi No. 9 2 11,2006,7.2,9897.0
tm129763,Anbe Sivam,2003,8.69999999999999,20595.0
tm130301,Gangaajal,2003,7.8,17029.0
tm141117,Chalte Chalte,2003,6.5,15379.0
tm35652,Mumbai Meri Jaan,2008,7.7,6309.0
tm49865,Aamir,2008,7.6,11241.0
tm254745,Frontiers of Dreams and Fears,2001,8.3,54.0
tm134140,Ishq Vishk,2003,6.1,4203.0
tm114504,The Legend of Bhagat Singh,2002,8.1,16225.0
tm76029,Under the Bombs,2007,7.0,1641.0
tm33067,Race,2008,6.9,63.0
tm712151,Laugh Out Loud,2003,7.0,13.0
tm34924,The Beast Stalker,2008,6.8,2191.0
ts98316,Edge of the Universe,2002,7.2,206.0
tm216753,Old Thieves: The Legend of Artegio,2007,8.0,314.0
tm112235,Kannathil Muthamittal,2002,8.4,8376.0
tm96052,Palermo Hollywood,2004,5.2,200.0
tm134407,Dev.D,2009,7.9,30389.0
tm81864,Twins Mission,2007,5.2,686.0
tm346951,What's Up?,2006,2.9,315.0
tm144263,Aagey Se Right,2009,5.2,406.0
tm85689,Krishna Cottage,2004,5.1,1153.0
tm368679,Madness in the Desert,2004,8.4,373.0
tm36636,C Kkompany,2008,5.5,1115.0
tm52176,Welcome to Sajjanpur,2008,6.9,3239.0
tm42831,Kyo Kii... Main Jhuth Nahin Bolta,2001,5.3,2196.0
tm135795,The Kite,2003,6.4,739.0
tm254052,Kucch To Hai,2003,4.3,909.0
tm166293,The Blue Umbrella,2005,7.3,2077.0
tm154375,Main Aurr Mrs Khanna,2009,3.5,3148.0
tm241875,Frank & Cindy,2007,7.0,344.0
tm85563,Ezra,2007,6.4,274.0
tm308960,Gina Yashere: Skinny B*tch,2008,6.5,84.0
tm154802,Agyaat,2009,2.9,674.0
tm21155,Falafel,2006,6.7,209.0
tm46867,Kuselan,2008,4.8,1000.0
tm140653,Look for a Star,2009,5.6,708.0
tm160596,Zozo,2005,6.5,3210.0
tm76399,A Love Story,2007,6.4,142.0
tm226362,Bosta,2005,6.4,603.0
tm84316,Shootout at Lokhandwala,2007,7.1,10139.0
ts39604,The Hospital,2006,7.4,40.0
tm168869,Da Kath & Kim Code,2005,7.3,904.0
tm352243,Interview with a Serial Killer,2008,5.9,595.0
tm89012,The Student Cop,2004,6.3,2051.0
ts160526,Khawatir,2005,9.6,3046.0
tm130999,Dhoondte Reh Jaaoge,2009,5.6,812.0
tm87672,Rabun,2003,7.7,83.0
tm27275,Life's Speed Bump,2006,6.6,2693.0
ts23797,Black & White,2009,7.6,302.0
tm85369,Hattrick,2007,4.3,493.0
tm143510,Harishchandrachi Factory,2009,8.4,2464.0
tm311516,Koi Aap Sa,2005,5.5,261.0
tm476570,Menahi,2008,6.7,51.0
tm148041,What's Your Raashee?,2009,4.8,2718.0
tm152413,Talentime,2009,7.4,203.0
tm21956,Anthony Kaun Hai?,2006,5.2,664.0
ts70843,The Prince Who Turns into a Frog,2005,6.8,128.0
tm57586,Mission Istaanbul,2008,3.4,1156.0
tm91125,Fida,2004,5.4,2608.0
ts13411,Cocaine,2005,7.1,60.0
tm142153,Kisaan,2009,5.5,302.0
ts4924,At Dolphin Bay,2003,6.9,39.0
tm88343,Perazhagan,2004,6.4,1496.0
ts126804,My MVP Valentine,2002,6.5,27.0
tm28024,A Very Special Love,2008,6.5,388.0
ts188031,Pink Zone,2007,6.1,47.0
tm598375,Chhota Bheem Aur Krishna,2008,6.4,310.0
ts56595,Cocomong,2008,5.6,11.0
tm252951,Brother's Shadow,2006,6.1,147.0
tm628693,"Do Paise Ki Dhoop, Chaar Aane Ki Baarish",2009,6.5,203.0
