id,title,type,description,release_year,imdb_id,imdb_score,imdb_votes
ts216679,Bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020,tt8740790,7.3,122036.0
tm681578,The Rental,MOVIE,Two couples rent a vacation home for what should be a celebratory weekend get-away.,2020,tt10003008,5.7,29201.0
ts87453,Space Force,SHOW,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency Ã¢â‚¬â€ Space Force Ã¢â‚¬â€ ready for lift-off.,2020,tt9612516,6.7,61739.0
tm832345,365 Days,MOVIE,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",2020,tt10886166,3.3,80198.0
ts89259,The Queen's Gambit,SHOW,"In a Kentucky orphanage in the 1950s, a young girl discovers an astonishing talent for chess while struggling with addiction.",2020,tt10048342,8.6,406350.0
ts81120,The Last Dance,SHOW,"A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season Ã¢â‚¬â€œ plus over 100 interviews with famous figures and basketballÃ¢â‚¬â„¢s biggest names.",2020,tt8420184,9.1,108321.0
ts224901,The Stranger,SHOW,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,2020,tt9698480,7.3,46564.0
ts84146,Emily in Paris,SHOW,"When ambitious Chicago marketing exec Emily unexpectedly lands her dream job in Paris, she embraces a new life as she juggles work, friends and romance.",2020,tt8962124,6.9,84302.0
ts254656,Jurassic World: Camp Cretaceous,SHOW,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,2020,tt10436228,7.5,7423.0
ts235655,Outer Banks,SHOW,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",2020,tt10293938,7.5,43404.0
ts87953,Locke & Key,SHOW,"Three siblings who move into their ancestral estate after their father's gruesome murder discover their new home's magical keys, which must be used in their stand against an evil creature who wants the keys and their powers.",2020,tt3007572,7.4,72031.0
ts223986,The Circle,SHOW,"Players start off isolated in an apartment, and with their online interactions as their only means of any communication. The players use a social media platform called ""The Circle"".",2020,tt9581768,7.3,6380.0
tm369594,I'm Thinking of Ending Things,MOVIE,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,2020,tt7939766,6.6,79921.0
ts103702,Young Wallander,SHOW,Follow recently graduated police officer Kurt Wallander as he investigates his first case.,2020,tt9359220,6.8,11039.0
tm368699,The Devil All the Time,MOVIE,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.",2020,tt8956406,7.1,122321.0
tm863808,My Octopus Teacher,MOVIE,"After years of swimming every day in the freezing ocean at the tip of Africa, Craig Foster meets an unlikely teacher: a young octopus who displays remarkable curiosity. Visiting her den and tracking her movements for months on end he eventually wins the animalÃ¢â‚¬â„¢s trust and they develop a never-before-seen bond between human and wild animal.",2020,tt12888462,8.1,51232.0
