Khawatir,SHOW,2005,9.6
Breaking Bad,SHOW,2008,9.5
Avatar: The Last Airbender,SHOW,2005,9.3
Our Planet,SHOW,2019,9.3
Kota Factory,SHOW,2019,9.3
Reply 1988,SHOW,2015,9.2
My Mister,SHOW,2018,9.2
Arcane,SHOW,2021,9.1
The Last Dance,SHOW,2020,9.1
DEATH NOTE,SHOW,2006,9
