Khawatir,2005,9.6
#ABtalks,2018,9.6
Breaking Bad,2008,9.5
Avatar: The Last Airbender,2005,9.3
Our Planet,2019,9.3
Kota Factory,2019,9.3
Who Rules The World,2022,9.2
Reply 1988,2015,9.2
My Mister,2018,9.2
Arcane,2021,9.1
